id,zona,brutoGramos,embalajeGramos,estado,modalidad
P124,Sur,500,500,LISTO,PRIORITARIO
P125,Centro,500,501,LISTO,NORMAL
P126,Norte,1200,-1,LISTO,NORMAL
P127,Sur,mil,100,LISTO,NORMAL
P128,Centro,1200,cien,LISTO,PRIORITARIO
P129,,1200,200,LISTO,NORMAL
P130,Norte,1200,200,PENDIENTE,NORMAL
P131,Sur,1200,200,LISTO
P132,Centro,1200,200,LISTO,NORMAL,extra
P133,Norte,0,0,CANCELADO
P134,Sur,0,0,CANCELADO,URGENTE,extra
P135,Centro,30001,0,LISTO,PRIORITARIO
P136,Norte,1000,0,LISTO,EXPRESS
P137,Sur,6500,1499,LISTO,PRIORITARIO
P138,Centro,450,450,LISTO,NORMAL
P139,Norte,50001,45001,LISTO,PRIORITARIO
P140,Sur,1200,200,EN_CAMINO,PRIORITARIO
